id,city_id,name,slug,centroid_lat,centroid_lng,avg_price_per_sqft,price_trend_1y_pct,price_trend_3y_pct
1,1,Sector 75 Noida,sector-75-noida,28.5710,77.3900,7200,12.5,32.0
2,1,Sector 76 Noida,sector-76-noida,28.5690,77.3950,7000,11.0,28.0
3,1,Sector 77 Noida,sector-77-noida,28.5670,77.4000,6800,10.5,27.0
4,1,Sector 78 Noida,sector-78-noida,28.5650,77.4050,7500,13.0,35.0
5,1,Sector 128 Noida,sector-128-noida,28.5190,77.3720,8500,15.0,42.0
6,1,Sector 137 Noida,sector-137-noida,28.5130,77.4030,6500,9.0,25.0
7,1,Sector 143 Noida,sector-143-noida,28.4970,77.4100,5800,8.0,20.0
8,1,Sector 150 Noida,sector-150-noida,28.4800,77.4200,5500,18.0,45.0
9,1,Sector 62 Noida,sector-62-noida,28.6270,77.3660,8000,7.0,22.0
10,1,Sector 44 Noida,sector-44-noida,28.5560,77.3350,9200,6.5,18.0
11,2,DLF Phase 1 Gurgaon,dlf-phase-1-gurgaon,28.4730,77.0970,12000,10.0,28.0
12,2,DLF Phase 2 Gurgaon,dlf-phase-2-gurgaon,28.4780,77.0890,11500,9.5,26.0
13,2,DLF Phase 3 Gurgaon,dlf-phase-3-gurgaon,28.4840,77.0810,11000,9.0,25.0
14,2,DLF Phase 4 Gurgaon,dlf-phase-4-gurgaon,28.4690,77.0780,13500,12.0,30.0
15,2,DLF Phase 5 Gurgaon,dlf-phase-5-gurgaon,28.4650,77.0870,14000,14.0,38.0
16,2,Golf Course Road,golf-course-road,28.4540,77.0980,18000,16.0,45.0
17,2,Sohna Road,sohna-road,28.4150,77.0650,7500,20.0,55.0
18,2,MG Road Gurgaon,mg-road-gurgaon,28.4790,77.0880,10000,5.0,15.0
19,2,Sector 56 Gurgaon,sector-56-gurgaon,28.4260,77.0550,9500,8.0,22.0
20,2,Sector 57 Gurgaon,sector-57-gurgaon,28.4230,77.0600,9000,7.5,20.0
21,2,Sector 67 Gurgaon,sector-67-gurgaon,28.3810,77.0590,7000,12.0,35.0
22,2,Sector 82 Gurgaon,sector-82-gurgaon,28.3680,77.0570,6500,15.0,40.0
23,2,Dwarka Expressway,dwarka-expressway,28.3960,76.9700,8000,25.0,65.0
24,2,New Gurgaon (NH8),new-gurgaon-nh8,28.3950,76.9600,7200,22.0,58.0
25,2,Sector 49 Gurgaon,sector-49-gurgaon,28.4120,77.0450,8500,10.0,28.0
26,3,Dwarka,dwarka-delhi,28.5920,77.0500,8500,6.0,18.0
27,3,Vasant Kunj,vasant-kunj-delhi,28.5200,77.1600,12000,5.0,15.0
28,3,Saket,saket-delhi,28.5240,77.2130,15000,4.0,12.0
29,3,Greater Kailash,greater-kailash-delhi,28.5460,77.2440,20000,3.0,10.0
30,3,Hauz Khas,hauz-khas-delhi,28.5494,77.2001,18000,4.0,12.0
31,3,Janakpuri,janakpuri-delhi,28.6200,77.0850,10000,5.0,14.0
32,3,Rohini,rohini-delhi,28.7100,77.1100,7500,6.0,16.0
33,3,Pitampura,pitampura-delhi,28.6960,77.1330,9000,5.0,14.0
34,3,Lajpat Nagar,lajpat-nagar-delhi,28.5690,77.2370,14000,3.5,11.0
35,3,Defence Colony,defence-colony-delhi,28.5740,77.2300,22000,3.0,9.0
36,4,Crossing Republik,crossing-republik-ghaziabad,28.6360,77.4250,4000,8.0,22.0
37,4,Indirapuram,indirapuram-ghaziabad,28.6310,77.3590,5500,7.0,20.0
38,4,Vaishali,vaishali-ghaziabad,28.6420,77.3370,6000,6.0,18.0
39,4,Raj Nagar Extension,raj-nagar-extension-ghaziabad,28.6890,77.4520,4200,10.0,28.0
40,4,NH24 Ghaziabad,nh24-ghaziabad,28.6500,77.4300,3800,12.0,30.0
41,5,Greater Noida West,greater-noida-west,28.5600,77.4400,3500,15.0,42.0
42,5,Pari Chowk,pari-chowk-greater-noida,28.4750,77.5040,4500,10.0,28.0
43,5,Knowledge Park,knowledge-park-greater-noida,28.4800,77.5100,4800,8.0,22.0
44,5,Sector Alpha,sector-alpha-greater-noida,28.4850,77.5200,5000,7.0,20.0
45,5,Sector Mu,sector-mu-greater-noida,28.4900,77.5100,5200,8.5,24.0
46,6,IMT Faridabad,imt-faridabad,28.3800,77.3100,4500,6.0,15.0
47,6,Sector 81 Faridabad,sector-81-faridabad,28.3700,77.3200,5000,8.0,22.0
48,6,Sector 86 Faridabad,sector-86-faridabad,28.3600,77.3300,4800,7.0,18.0
49,6,Green Field Colony,green-field-colony-faridabad,28.3750,77.3150,5500,5.0,14.0
50,6,NIT Faridabad,nit-faridabad,28.3850,77.3000,6000,4.0,12.0
